Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
2016,Darrell Greene,San Diego State,OG,5.52,75,31.625,321,9.625,5.2,28,,98,8.07,4.98,
2016,Isaac Seumalo,Oregon State,OG,5.44,76,33,303,9.875,5.19,,,105,7.4,4.52,
2016,Vadal Alexander,LSU,OG,5.42,77,35.25,326,10.5,5.57,25,,95,8.04,4.9,
2016,Joe Dahl,Washington State,OG,5.4,76,33.125,304,9.125,5.18,28,,109,7.64,4.77,
2016,Sebastian Tretola,Arkansas,OG,5.39,76,31.5,314,10.375,5.45,22,,90,7.94,5.02,
2016,Connor McGovern,Missouri,OG,5.37,76,32.875,306,10.375,5.11,33,,109,7.5,4.65,
2016,Dominick Jackson,Alabama,OG,5.3,77,33,313,9.75,,20,,97,,,
2016,Spencer Drango,Baylor,OG,5.2,78,33.75,315,9.5,5.27,30,,100,7.88,4.66,
2016,Nila Kasitati,Oklahoma,OG,5.12,75,32,317,10.5,5.32,12,,107,8.3,4.83,
2016,Joe Thuney,North Carolina State,OG,5.08,77,32.25,304,9.625,4.95,28,,110,7.47,4.54,
2016,Alex Redmond,UCLA,OG,5.04,77,33.25,294,10.5,5.3,30,,111,7.75,4.9,
2016,Joseph Cheek,Texas A&M,OG,5,78,32.75,295,9.25,,20,,,,,
2016,Parker Ehinger,Cincinnati,OG,4.9,78,33,310,9.875,5.26,,,97,,,
2016,Laremy Tunsil,Ole Miss,OT,7.72,77,34.25,310,10,,,,,,,
2016,Ronnie Stanley,Notre Dame,OT,6.7,78,35.625,312,10.625,5.2,,,,8.03,4.9,
2016,Jack Conklin,Michigan State,OT,6.4,78,35,308,10.375,5,25,,103,7.63,4.57,
2016,Le'Raven Clark,Texas Tech,OT,6.05,77,36.125,316,11.875,5.16,18,,,,,
2016,Taylor Decker,Ohio State,OT,5.88,79,33.75,310,10,5.23,20,,101,7.7,4.76,
2016,Shon Coleman,Auburn,OT,5.84,77,35.125,307,10.625,,22,,,,,
2016,Jason Spriggs,Indiana,OT,5.54,78,34.125,301,10.125,4.94,31,,115,7.7,4.44,
2016,Jerald Hawkins,LSU,OT,5.5,78,34.25,305,9.625,5.23,23,,100,8.19,4.89,
2016,Willie Beavers,Western Michigan,OT,5.48,76,33.5,324,9.5,5.28,20,,103,7.96,4.71,
2016,Kyle Murphy,Stanford,OT,5.33,78,33.5,305,9.75,,23,,,,,
2016,Joe Haeg,North Dakota State,OT,5.29,78,33.75,304,9.625,5.16,,,111,7.47,4.47,
2016,Avery Young,Auburn,OT,5.24,77,33.75,328,10.5,5.39,,,,8.22,4.91,
2016,Brandon Shell,South Carolina,OT,5.22,77,34.75,324,10.75,5.22,22,,112,,,
2016,Caleb Benenoch,UCLA,OT,5.15,77,,305,,4.98,,,104,8.15,5.11,
2016,Alex Lewis,Nebraska,OT,5.14,78,34,312,10,5.22,27,,100,7.94,4.72,
2016,Pearce Slater,San Diego State,OT,5.11,79,,333,,5.42,17,,92,8.36,5.12,
2016,John Theus,Georgia,OT,5.1,78,34.5,313,10.125,5.22,,,103,7.9,4.78,
